date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:05:18	51052/51052	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2015:00:20%20GMT	https://www.mhi.com/	C:/10Intership/heavy%202/www.mhi.com/index.html	(from )
10:05:18	355/355	---MCZ	200	added ('OK')	text/plain	etag:W/%221665131109%22	https://www.mhi.com/robots.txt		(from )
10:05:18	15086/15086	---MCZ	200	added ('OK')	image/x-icon	date:Wed,%2023%20Feb%202022%2016:57:33%20GMT	https://www.mhi.com/themes/custom/mhi_base_theme/favicons/en/favicon.ico	C:/10Intership/heavy%202/www.mhi.com/themes/custom/mhi_base_theme/favicons/en/favicon.ico	(from https://www.mhi.com/)
10:05:18	4066/4066	---M--	200	added ('OK')	image/png	date:Wed,%2023%20Feb%202022%2016:57:33%20GMT	https://www.mhi.com/themes/custom/mhi_base_theme/favicons/en/apple_touch_icon.png	C:/10Intership/heavy%202/www.mhi.com/themes/custom/mhi_base_theme/favicons/en/apple_touch_icon.png	(from https://www.mhi.com/)
10:05:19	52237/52237	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Oct%202022%2015:02:01%20GMT	https://www.mhi.com/jp	C:/10Intership/heavy%202/www.mhi.com/jp.html	(from https://www.mhi.com/)
10:05:19	348/348	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2006%20Oct%202022%2012:34:11%20GMT	https://www.mhi.com/sites/g/files/jwhtju111/files/google_tag/google_tag/mhi/google_tag.script.js?rjc08r	C:/10Intership/heavy%202/www.mhi.com/sites/g/files/jwhtju111/files/google_tag/google_tag/mhi/google_tag.scriptd59e.js	(from https://www.mhi.com/)
10:05:19	9276/9276	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202022%2009:27:08%20GMT	https://www.mhi.com/sites/g/files/jwhtju111/files/css/css_oxLWOZayK1TRecSwaYwm049a-ZpK6d1rB76v-ns4hZo.css	C:/10Intership/heavy%202/www.mhi.com/sites/g/files/jwhtju111/files/css/css_oxLWOZayK1TRecSwaYwm049a-ZpK6d1rB76v-ns4hZo.css	(from https://www.mhi.com/)
10:05:20	786143/786143	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202022%2009:26:34%20GMT	https://www.mhi.com/sites/g/files/jwhtju111/files/css/css_CkI3LmNJ7q5u7vgPlbGRpHze6RUqW2r6fTiA6GvkBQo.css	C:/10Intership/heavy%202/www.mhi.com/sites/g/files/jwhtju111/files/css/css_CkI3LmNJ7q5u7vgPlbGRpHze6RUqW2r6fTiA6GvkBQo.css	(from https://www.mhi.com/)
10:05:20	341/341	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202022%2009:26:34%20GMT	https://www.mhi.com/sites/g/files/jwhtju111/files/css/css_npYYriCqvk444NEOIIcVTaL2youfsF04to-0pVnMrvo.css	C:/10Intership/heavy%202/www.mhi.com/sites/g/files/jwhtju111/files/css/css_npYYriCqvk444NEOIIcVTaL2youfsF04to-0pVnMrvo.css	(from https://www.mhi.com/)
10:05:20	151568/151568	---MCZ	200	added ('OK')	text/css	date:Mon,%2003%20Oct%202022%2009:26:35%20GMT	https://www.mhi.com/sites/g/files/jwhtju111/files/css/css_OWsRpFuNLpSm6-I6XZN1veEhZmSrbxQ1BRex4EE_n8E.css	C:/10Intership/heavy%202/www.mhi.com/sites/g/files/jwhtju111/files/css/css_OWsRpFuNLpSm6-I6XZN1veEhZmSrbxQ1BRex4EE_n8E.css	(from https://www.mhi.com/)
10:05:20	7234/7234	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2003%20Mar%202022%2006:06:34%20GMT	https://www.mhi.com/core/assets/vendor/modernizr/modernizr.min.js?v=3.11.7	C:/10Intership/heavy%202/www.mhi.com/core/assets/vendor/modernizr/modernizr.minad3d.js	(from https://www.mhi.com/)
10:05:20	413/413	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2003%20Mar%202022%2006:06:34%20GMT	https://www.mhi.com/core/misc/modernizr-additional-tests.js?v=3.11.7	C:/10Intership/heavy%202/www.mhi.com/core/misc/modernizr-additional-testsad3d.js	(from https://www.mhi.com/)
10:05:21	87/87	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2023%20Feb%202022%2016:57:31%20GMT	https://www.mhi.com/modules/contrib/seckit/js/seckit.document_write.js	C:/10Intership/heavy%202/www.mhi.com/modules/contrib/seckit/js/seckit.document_write.js	(from https://www.mhi.com/)
